Day,Month,Year,Hour,No Image or Poor Image,Low/Mid Clouds (%),High Cirrus (%),Long-lived Contrails (Count),Contrail-Cirrus (Count),Day Low/Mid,Day Count Cirrs,Day Count Cont LL,Day Count Cont-Cirrus,,,,,,,,,,,,,,,,,,,,
20,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,17,,100,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,
19,12,22,16,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,15,,80,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,14,,70,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,13,,30,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,12,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,10,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,9,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,7,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
18,12,22,16,,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,15,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,14,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,13,,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,12,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,11,,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,10,,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,9,,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,8,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,7,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
17,12,22,16,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,15,,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,14,,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,13,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,12,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,11,,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,10,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,9,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,7,,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
16,12,22,16,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,15,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,14,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,13,,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,12,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,10,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,9,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,7,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,18,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
15,12,22,17,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,16,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,15,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,14,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,13,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,12,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,11,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,10,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,9,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,8,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,7,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
14,12,22,16,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,15,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,14,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,13,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,12,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,11,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,10,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,9,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,8,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,7,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,17,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
13,12,22,16,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,15,,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,14,,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,13,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,12,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,10,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,9,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,7,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
12,12,22,16,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,15,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,14,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,13,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,12,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,11,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,10,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,9,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,8,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,7,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
11,12,22,16,,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,15,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,14,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,13,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,12,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,11,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,10,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,9,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,8,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,7,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
10,12,22,16,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,15,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,14,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,13,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,12,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,11,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,10,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,9,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,8,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,7,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
9,12,22,16,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,15,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,14,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,13,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,12,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,10,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,9,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,7,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
8,12,22,16,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,15,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,14,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,13,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,12,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,11,,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,10,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,9,,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,8,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,12,22,7,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
